team,season,cf_pct,xgf_pct,hdcf_pct,gsax,pp_pct,pk_pct,pdo,home_games,home_win_pct,away_games,away_win_pct
ANA,2014,44.72,48.38,47.83,-1.44,16.44,77.06,97.46,41,39.19,41,39.88
ARI,2014,45.25,51.26,51.47,14.32,21.92,86.11,100.8,41,62.93,41,43.74
BOS,2014,48.2,49.84,49.53,-3.53,15.7,85.26,98.3,41,60.1,41,36.99
BUF,2014,45.73,52.98,48.16,-11.94,14.37,79.59,99.03,41,40.39,41,47.58
CGY,2014,49.8,50.69,49.02,-19.43,17.78,76.95,100.99,41,47.22,41,34.41
CAR,2014,46.61,46.98,45.8,11.9,18.01,87.77,100.17,41,45.84,41,46.06
CHI,2014,45.06,51.56,47.67,-13.21,15.5,84.25,99.28,41,56.35,41,49.42
COL,2014,51.83,50.08,52.92,-6.66,17.9,82.6,102.56,41,51.6,41,45.78
CBJ,2014,45.16,52.47,44.87,-8.5,17.61,76.74,101.94,41,35.43,41,49.64
DAL,2014,48.07,53.22,51.25,10.17,21.16,78.91,99.16,41,51.36,41,52.43
DET,2014,51.26,48.24,48.73,-6.24,23.12,82.04,98.09,41,47.85,41,47.38
EDM,2014,45.64,47.88,44.76,-8.12,20.77,84.93,102.77,41,51.42,41,30.76
FLA,2014,48.58,53.39,50.2,2.0,21.85,80.11,100.69,41,48.81,41,45.14
LAK,2014,53.89,52.61,54.23,17.5,22.38,80.14,97.89,41,61.64,41,55.13
MIN,2014,51.22,51.62,50.31,-15.91,19.02,84.46,98.78,41,55.9,41,44.78
MTL,2014,47.76,47.85,45.16,4.88,20.06,79.51,98.06,41,57.58,41,41.13
NSH,2014,45.0,46.73,53.11,-3.44,22.6,84.58,99.14,41,54.56,41,34.66
NJD,2014,50.35,47.91,44.44,-16.21,23.8,77.86,100.54,41,59.88,41,34.5
NYI,2014,47.07,45.51,50.45,-12.32,22.27,86.92,101.39,41,61.35,41,35.03
NYR,2014,51.95,51.0,51.16,6.11,21.8,79.42,97.96,41,64.27,41,48.7
OTT,2014,51.34,50.53,45.37,5.5,19.55,84.32,102.21,41,48.84,41,33.16
PHI,2014,49.32,53.36,44.21,13.45,16.59,77.83,97.99,41,60.22,41,35.81
PIT,2014,45.23,50.54,51.35,-9.72,22.92,83.76,98.47,41,62.95,41,43.26
SJS,2014,49.94,45.73,53.74,-19.53,19.32,79.63,99.53,41,45.61,41,39.56
STL,2014,45.37,47.24,50.82,-16.04,20.64,79.99,98.31,41,53.78,41,47.72
TBL,2014,50.31,52.98,49.1,6.73,18.91,77.79,100.41,41,39.66,41,43.42
TOR,2014,46.31,53.55,53.02,-3.33,17.5,78.51,101.41,41,51.54,41,53.4
VAN,2014,49.18,47.23,48.52,13.79,14.51,82.49,99.97,41,44.31,41,54.5
WSH,2014,48.82,53.43,50.92,-6.87,20.88,84.34,99.85,41,37.22,41,42.74
WPG,2014,48.79,53.29,50.34,11.68,16.3,84.99,98.06,41,36.81,41,51.02
