team,season,situation,cf_pct,ff_pct,xgf,xga,xgf_pct,hdcf_pct,shooting_pct,save_pct,pdo,gsax,pp_pct,pk_pct
WSH,2017,all,53.5,53.8,248,172,59.0,54.2,9.8,0.928,102.6,22.5,24.5,85.8
PIT,2017,all,52.8,53.2,262,222,54.1,52.5,10.5,0.910,101.5,5.2,23.8,80.2
CHI,2017,all,53.2,53.5,232,198,54.0,53.8,9.6,0.917,100.3,12.8,19.5,84.5
CBJ,2017,all,54.5,54.2,238,182,56.7,54.8,9.4,0.923,100.7,18.5,18.8,85.5
MIN,2017,all,52.5,52.8,252,195,56.4,52.2,9.8,0.918,101.6,14.2,22.5,83.2
ANA,2017,all,51.8,52.2,212,192,52.5,52.5,9.2,0.920,101.2,15.5,17.5,85.8
MTL,2017,all,51.2,51.5,218,192,53.2,51.8,9.3,0.920,101.3,15.2,19.2,84.5
EDM,2017,all,50.8,51.2,232,205,53.1,50.5,9.5,0.914,100.9,8.5,22.8,81.5
SJS,2017,all,52.2,52.5,218,205,51.5,52.8,9.2,0.914,100.6,7.2,18.5,82.8
OTT,2017,all,49.5,49.8,205,205,50.0,49.2,9.3,0.915,100.8,7.8,17.8,83.5
NYR,2017,all,50.2,50.5,242,212,53.3,50.8,9.8,0.911,100.9,5.8,21.5,80.8
BOS,2017,all,51.5,51.8,225,205,52.3,51.5,9.3,0.913,100.6,6.5,19.8,82.2
STL,2017,all,51.8,52.2,228,212,51.8,52.5,9.4,0.912,100.6,5.5,20.2,82.5
TOR,2017,all,49.2,49.5,238,232,50.6,49.2,9.7,0.908,100.5,1.2,21.5,79.5
CGY,2017,all,50.5,50.8,218,215,50.3,50.5,9.3,0.912,100.5,5.2,18.5,82.5
NSH,2017,all,51.2,51.5,228,218,51.1,51.8,9.4,0.910,100.4,4.2,20.5,81.2
TBL,2017,all,50.8,51.2,225,215,51.1,50.8,9.3,0.911,100.4,4.5,19.8,81.8
NYI,2017,all,48.5,48.8,232,232,50.0,48.2,9.6,0.905,100.1,-2.5,19.2,78.5
FLA,2017,all,48.2,48.5,208,232,47.3,47.8,9.3,0.905,99.8,-3.2,17.5,79.8
LAK,2017,all,51.5,51.2,198,198,50.0,51.8,8.8,0.917,99.5,10.5,16.2,84.5
PHI,2017,all,49.8,50.2,212,228,48.2,49.5,9.2,0.905,99.7,-2.8,18.2,79.5
CAR,2017,all,49.2,49.5,205,222,48.0,48.8,9.2,0.905,99.7,-2.5,17.8,80.2
DAL,2017,all,48.5,48.8,215,248,46.4,48.2,9.4,0.900,99.4,-5.8,18.5,77.5
BUF,2017,all,47.8,48.2,192,228,45.7,47.5,9.0,0.905,99.5,-3.2,16.5,80.5
WPG,2017,all,50.2,50.5,238,245,49.3,50.8,9.5,0.902,99.7,-4.5,20.2,77.2
DET,2017,all,48.2,48.5,198,232,46.0,47.8,9.0,0.907,99.7,-1.5,17.2,81.2
VAN,2017,all,46.5,46.8,175,232,43.0,46.2,8.8,0.905,98.3,-3.8,15.2,80.8
ARI,2017,all,47.2,47.5,188,248,43.1,46.8,8.9,0.902,98.1,-5.5,16.8,78.5
NJD,2017,all,46.8,47.2,175,235,42.7,46.5,8.7,0.905,98.2,-3.2,15.5,80.5
COL,2017,all,44.5,44.8,158,262,37.6,44.2,8.5,0.892,97.7,-12.5,14.2,76.8
