team,season,one_goal_wins,one_goal_losses,ot_wins,ot_losses,so_wins,so_losses,comeback_wins,blown_leads,trailing_after_2_wins
BOS,2020,20,6,6,2,3,2,14,4,10
TBL,2020,18,8,4,2,4,3,12,5,8
COL,2020,17,9,5,3,3,4,11,6,7
STL,2020,16,10,4,3,4,4,10,6,7
WSH,2020,15,11,3,4,4,4,9,7,6
VGK,2020,16,10,4,3,3,4,10,6,7
PIT,2020,14,11,3,4,4,5,8,7,5
DAL,2020,15,10,4,3,3,5,9,6,6
PHI,2020,16,10,5,3,2,5,10,6,7
EDM,2020,13,12,3,4,3,5,8,8,5
TOR,2020,12,13,2,4,4,5,7,9,4
CAR,2020,15,10,4,3,3,4,10,6,7
NYI,2020,14,11,4,4,2,5,9,7,6
CGY,2020,13,12,3,4,3,5,8,8,5
VAN,2020,12,13,3,5,2,5,7,9,4
WPG,2020,13,12,3,4,3,5,8,8,5
FLA,2020,11,13,2,5,4,5,6,9,3
ARI,2020,13,12,4,4,2,5,8,8,5
MIN,2020,12,13,3,5,2,5,7,9,4
NSH,2020,11,13,2,5,4,5,6,9,3
CBJ,2020,13,12,4,4,2,5,8,8,5
CHI,2020,12,13,3,5,2,5,7,9,4
NYR,2020,11,13,3,5,2,5,6,9,3
MTL,2020,10,14,2,5,3,5,5,10,2
BUF,2020,10,14,2,5,3,5,5,10,2
NJD,2020,9,15,2,5,2,6,4,11,2
ANA,2020,10,14,3,5,2,5,5,10,2
SJ,2020,9,15,2,5,3,6,4,11,2
LAK,2020,10,14,3,5,2,6,5,10,2
OTT,2020,8,16,2,5,1,6,3,12,1
DET,2020,6,18,1,5,2,6,2,14,0
