team,season,player,games,goals,assists,points
ANA,2011,ANA Player 1,74,36,50,86
ANA,2011,ANA Player 2,76,22,32,54
ANA,2011,ANA Player 3,74,17,30,47
ANA,2011,ANA Player 4,77,31,34,65
ARI,2011,ARI Player 1,71,43,38,81
ARI,2011,ARI Player 2,79,30,23,53
ARI,2011,ARI Player 3,71,24,27,51
BOS,2011,Zdeno Chara,75,48,43,91
BOS,2011,Patrice Bergeron,80,34,35,69
BOS,2011,David Krejci,74,17,38,55
BOS,2011,BOS Player 4,81,15,43,58
BUF,2011,BUF Player 1,79,42,32,74
BUF,2011,BUF Player 2,81,22,39,61
BUF,2011,BUF Player 3,70,15,36,51
BUF,2011,BUF Player 4,71,34,24,58
CGY,2011,CGY Player 1,74,38,43,81
CGY,2011,CGY Player 2,75,21,30,51
CGY,2011,CGY Player 3,79,19,35,54
CAR,2011,CAR Player 1,78,27,53,80
CAR,2011,CAR Player 2,78,18,33,51
CAR,2011,CAR Player 3,81,24,30,54
CAR,2011,CAR Player 4,78,23,23,46
CAR,2011,CAR Player 5,71,21,27,48
CHI,2011,Patrick Kane,74,44,30,74
CHI,2011,Jonathan Toews,72,27,35,62
CHI,2011,Marian Hossa,75,15,32,47
CHI,2011,CHI Player 4,76,31,35,66
CHI,2011,CHI Player 5,72,16,26,42
COL,2011,COL Player 1,81,42,31,73
COL,2011,COL Player 2,81,16,37,53
COL,2011,COL Player 3,77,34,26,60
COL,2011,COL Player 4,73,17,27,44
COL,2011,COL Player 5,80,32,31,63
CBJ,2011,CBJ Player 1,73,26,49,75
CBJ,2011,CBJ Player 2,81,29,40,69
CBJ,2011,CBJ Player 3,75,23,31,54
CBJ,2011,CBJ Player 4,80,18,30,48
DAL,2011,DAL Player 1,77,27,41,68
DAL,2011,DAL Player 2,70,30,35,65
DAL,2011,DAL Player 3,72,18,34,52
DAL,2011,DAL Player 4,74,19,44,63
DAL,2011,DAL Player 5,76,28,32,60
DET,2011,Pavel Datsyuk,79,32,48,80
DET,2011,Henrik Zetterberg,74,23,43,66
DET,2011,Nicklas Lidstrom,71,29,41,70
DET,2011,DET Player 4,72,29,20,49
DET,2011,DET Player 5,80,18,42,60
EDM,2011,EDM Player 1,78,35,41,76
EDM,2011,EDM Player 2,76,25,20,45
EDM,2011,EDM Player 3,72,24,31,55
EDM,2011,EDM Player 4,81,21,29,50
FLA,2011,FLA Player 1,74,29,52,81
FLA,2011,FLA Player 2,75,23,24,47
FLA,2011,FLA Player 3,81,18,25,43
LAK,2011,Anze Kopitar,81,33,36,69
