team,season,player_name,position,games_played,goals,assists,points,ppg,toi_per_game,is_star
COL,2022,Nathan MacKinnon,C,65,32,56,88,1.35,21.5,1
COL,2022,Mikko Rantanen,RW,75,36,56,92,1.23,20.0,1
COL,2022,Cale Makar,D,77,28,58,86,1.12,25.0,1
FLA,2022,Jonathan Huberdeau,LW,80,30,85,115,1.44,19.5,1
FLA,2022,Aleksander Barkov,C,67,39,49,88,1.31,20.0,1
CGY,2022,Johnny Gaudreau,LW,82,40,75,115,1.40,18.5,1
CGY,2022,Matthew Tkachuk,LW,82,42,62,104,1.27,19.0,1
EDM,2022,Connor McDavid,C,80,44,79,123,1.54,22.0,1
EDM,2022,Leon Draisaitl,C,80,55,55,110,1.38,21.0,1
CAR,2022,Sebastian Aho,C,79,37,44,81,1.03,20.0,1
CAR,2022,Andrei Svechnikov,RW,78,30,39,69,0.88,18.0,1
NYR,2022,Artemi Panarin,LW,75,22,74,96,1.28,19.0,1
NYR,2022,Chris Kreider,LW,81,52,25,77,0.95,18.5,1
TOR,2022,Auston Matthews,C,73,60,46,106,1.45,20.5,1
TOR,2022,Mitch Marner,RW,72,35,62,97,1.35,20.0,1
TB,2022,Nikita Kucherov,RW,47,25,44,69,1.47,19.0,1
TB,2022,Steven Stamkos,C,81,42,64,106,1.31,18.5,1
BOS,2022,David Pastrnak,RW,72,40,37,77,1.07,18.5,1
BOS,2022,Brad Marchand,LW,70,32,48,80,1.14,18.0,1
MIN,2022,Kirill Kaprizov,LW,81,47,61,108,1.33,20.0,1
WSH,2022,Alex Ovechkin,LW,77,50,40,90,1.17,18.0,1
PIT,2022,Sidney Crosby,C,69,31,53,84,1.22,20.0,1
PIT,2022,Jake Guentzel,LW,76,40,44,84,1.11,18.5,1
STL,2022,Jordan Kyrou,C,74,27,48,75,1.01,17.5,1
DAL,2022,Jason Robertson,LW,74,41,38,79,1.07,18.0,1
VGK,2022,Mark Stone,RW,37,14,15,29,0.78,17.5,1
VAN,2022,JT Miller,C,80,32,67,99,1.24,20.0,1
BUF,2022,Tage Thompson,C,78,38,38,76,0.97,19.5,1
NJ,2022,Jack Hughes,C,49,26,30,56,1.14,18.5,1
DET,2022,Dylan Larkin,C,71,31,38,69,0.97,20.0,1
LA,2022,Anze Kopitar,C,81,19,55,74,0.91,20.0,1
NSH,2022,Roman Josi,D,80,23,73,96,1.20,25.5,1
NSH,2022,Filip Forsberg,LW,69,42,42,84,1.22,18.0,1
OTT,2022,Brady Tkachuk,LW,79,30,37,67,0.85,18.5,1
ANA,2022,Trevor Zegras,C,75,23,38,61,0.81,17.5,1
CHI,2022,Patrick Kane,RW,78,26,66,92,1.18,18.5,1
SJ,2022,Tomas Hertl,C,74,30,32,62,0.84,18.0,0
MTL,2022,Nick Suzuki,C,82,21,40,61,0.74,19.0,1
PHI,2022,Claude Giroux,C,57,18,24,42,0.74,18.0,0
NYI,2022,Mathew Barzal,C,73,15,44,59,0.81,19.5,1
CBJ,2022,Patrik Laine,LW,56,26,30,56,1.00,18.0,1
SEA,2022,Jared McCann,C,71,27,22,49,0.69,17.5,0
ARI,2022,Clayton Keller,RW,67,28,35,63,0.94,18.5,1
WPG,2022,Kyle Connor,LW,79,47,46,93,1.18,19.0,1
