team,season,playoff_games_3yr,playoff_series_3yr,playoff_rounds_3yr,playoff_appearances_3yr,conf_finals_5yr,cup_finals_5yr,cups_won_5yr,current_rounds_won,current_games_won,current_games_lost
ANA,2017,36,6,3,3,1,0,0,2,10,7
ARI,2017,0,0,0,0,0,0,0,0,0,0
BOS,2017,10,2,1,1,1,1,0,0,2,4
BUF,2017,0,0,0,0,0,0,0,0,0,0
CGY,2017,9,2,1,1,0,0,0,0,0,4
CAR,2017,0,0,0,0,0,0,0,0,0,0
CHI,2017,47,9,6,3,3,2,2,0,0,4
COL,2017,7,1,0,1,0,0,0,0,0,0
CBJ,2017,6,1,0,1,0,0,0,0,1,4
DAL,2017,18,3,1,2,0,0,0,0,0,0
DET,2017,15,3,0,3,0,0,0,0,0,0
EDM,2017,0,0,0,0,0,0,0,1,6,6
FLA,2017,6,2,1,1,0,0,0,0,0,0
LAK,2017,31,6,4,2,3,2,2,0,0,0
MIN,2017,30,5,2,3,0,0,0,0,1,4
MTL,2017,24,5,3,2,1,0,0,0,2,4
NSH,2017,13,2,0,2,0,0,0,3,14,10
NJD,2017,0,0,0,0,1,1,0,0,0,0
NYI,2017,20,3,1,2,0,0,0,0,0,0
NYR,2017,45,8,5,3,3,1,0,1,6,6
OTT,2017,6,1,0,1,0,0,0,2,13,8
PHI,2017,13,2,0,2,0,0,0,0,0,0
PIT,2017,41,8,5,3,2,1,1,4,16,9
SJS,2017,31,5,3,2,1,1,0,0,2,4
STL,2017,30,5,2,3,1,0,0,1,5,5
TBL,2017,44,8,5,3,2,1,0,0,0,0
TOR,2017,0,0,0,0,0,0,0,0,2,4
VAN,2017,6,1,0,1,0,0,0,0,0,0
WSH,2017,24,4,2,2,0,0,0,1,6,6
WPG,2017,4,1,0,1,0,0,0,0,0,0
