team,season,last_10_wins,last_20_wins,current_streak
ANA,2010,6,9,-1
ARI,2010,7,10,2
BOS,2010,6,13,3
BUF,2010,7,11,1
CGY,2010,4,10,1
CAR,2010,2,5,3
CHI,2010,7,13,6
COL,2010,6,10,2
CBJ,2010,4,7,3
DAL,2010,6,11,-2
DET,2010,5,11,3
EDM,2010,3,11,0
FLA,2010,6,9,1
LAK,2010,8,14,2
MIN,2010,4,6,3
MTL,2010,8,11,2
NSH,2010,3,10,1
NJD,2010,7,13,4
NYI,2010,6,7,2
NYR,2010,7,14,1
OTT,2010,5,11,1
PHI,2010,6,11,4
PIT,2010,6,14,1
SJS,2010,6,12,4
STL,2010,5,5,3
TBL,2010,3,10,-2
TOR,2010,4,8,-4
VAN,2010,8,10,3
WSH,2010,7,11,3
WPG,2010,5,10,0
