team,season,last_10_wins,last_10_losses,last_10_ot_losses,last_10_gf,last_10_ga,streak_type,streak_length
COL,2022,8,2,0,36,22,W,4
FLA,2022,7,2,1,33,24,W,3
CAR,2022,7,3,0,30,22,W,2
TOR,2022,6,3,1,32,26,W,1
NYR,2022,6,3,1,28,24,W,2
TB,2022,7,3,0,31,25,W,3
BOS,2022,6,4,0,29,27,W,1
PIT,2022,5,4,1,27,26,L,1
WSH,2022,5,4,1,26,27,L,2
MIN,2022,6,4,0,30,26,W,2
STL,2022,6,4,0,32,28,W,1
CGY,2022,7,3,0,31,23,W,4
EDM,2022,6,4,0,35,30,W,2
DAL,2022,5,4,1,27,26,W,1
NSH,2022,5,4,1,26,27,L,1
LA,2022,5,4,1,27,28,W,1
VGK,2022,5,4,1,28,29,L,2
VAN,2022,4,5,1,26,30,L,3
WPG,2022,4,5,1,25,29,L,2
SJ,2022,4,5,1,24,28,L,1
ANA,2022,4,5,1,24,29,L,2
CHI,2022,3,6,1,22,32,L,4
DET,2022,4,5,1,25,30,L,1
OTT,2022,4,5,1,26,31,L,2
BUF,2022,4,5,1,26,32,L,1
PHI,2022,3,6,1,23,31,L,3
NJ,2022,4,5,1,26,30,L,2
NYI,2022,4,5,1,24,28,L,1
CBJ,2022,4,5,1,25,30,L,2
MTL,2022,3,6,1,21,33,L,5
SEA,2022,4,5,1,24,29,L,1
ARI,2022,3,6,1,20,32,L,3
