team,season,games_played,wins,losses,ot_losses,points,goals_for,goals_against,made_playoffs,playoff_success,won_cup
ANA,2010,82,30,46,6,66,200,186,False,0,False
ARI,2010,82,30,40,12,72,235,190,False,0,False
BOS,2010,82,47,26,9,103,239,238,True,1,False
BUF,2010,82,44,28,10,98,272,245,True,1,False
CGY,2010,82,36,37,9,81,263,188,False,0,False
CAR,2010,82,31,37,14,76,216,183,False,0,False
CHI,2010,82,48,23,11,107,253,170,True,4,True
COL,2010,82,46,22,14,106,252,216,True,1,False
CBJ,2010,82,36,39,7,79,203,275,False,0,False
DAL,2010,82,30,38,14,74,232,221,False,0,False
DET,2010,82,48,20,14,110,193,256,True,1,False
EDM,2010,82,36,32,14,86,212,248,False,0,False
FLA,2010,82,24,44,14,62,246,278,False,0,False
LAK,2010,82,49,25,8,106,245,272,True,1,False
MIN,2010,82,32,35,15,79,210,272,False,0,False
MTL,2010,82,46,30,6,98,273,249,True,2,False
NSH,2010,82,27,41,14,68,220,183,False,0,False
NJD,2010,82,50,19,13,113,203,215,True,1,False
NYI,2010,82,32,36,14,78,284,259,False,0,False
NYR,2010,82,27,45,10,64,189,232,False,0,False
OTT,2010,82,44,25,13,101,265,185,True,1,False
PHI,2010,82,53,22,7,113,265,180,True,3,False
PIT,2010,82,51,17,14,116,189,269,True,1,False
SJS,2010,82,45,27,10,100,227,223,True,2,False
STL,2010,82,23,45,14,60,236,270,False,0,False
TBL,2010,82,40,37,5,85,218,194,False,0,False
TOR,2010,82,37,39,6,80,283,259,False,0,False
VAN,2010,82,42,28,12,96,262,208,True,1,False
WSH,2010,82,41,28,13,95,218,219,True,1,False
WPG,2010,82,32,41,9,73,269,185,False,0,False
