team,season,games_played,wins,losses,ot_losses,points,goals_for,goals_against,home_wins,home_losses,home_ot_losses,away_wins,away_losses,away_ot_losses,made_playoffs,won_cup
NSH,2018,82,53,18,11,117,267,211,27,8,6,26,10,5,1,0
WPG,2018,82,52,20,10,114,277,218,30,8,3,22,12,7,1,0
TBL,2018,82,54,23,5,113,296,236,29,10,2,25,13,3,1,0
BOS,2018,82,50,20,12,112,270,214,27,9,5,23,11,7,1,0
VGK,2018,82,51,24,7,109,272,228,29,9,3,22,15,4,1,0
TOR,2018,82,49,26,7,105,277,232,29,10,2,20,16,5,1,0
MIN,2018,82,45,26,11,101,253,232,26,10,5,19,16,6,1,0
SJS,2018,82,45,27,10,100,252,229,24,11,6,21,16,4,1,0
LAK,2018,82,45,29,8,98,239,203,24,13,4,21,16,4,1,0
ANA,2018,82,44,25,13,101,235,216,24,10,7,20,15,6,1,0
PIT,2018,82,47,29,6,100,272,250,26,12,3,21,17,3,1,0
WSH,2018,82,49,26,7,105,259,239,27,11,3,22,15,4,1,1
PHI,2018,82,42,26,14,98,251,243,23,11,7,19,15,7,1,0
COL,2018,82,43,30,9,95,256,237,25,13,3,18,17,6,1,0
NJD,2018,82,44,29,9,97,248,244,24,14,3,20,15,6,1,0
CBJ,2018,82,45,30,7,97,242,230,24,14,3,21,16,4,1,0
FLA,2018,82,44,30,8,96,248,246,24,14,3,20,16,5,0,0
STL,2018,82,44,32,6,94,226,222,24,14,3,20,18,3,0,0
DAL,2018,82,42,32,8,92,235,225,25,13,3,17,19,5,0,0
CAR,2018,82,36,35,11,83,228,256,20,16,5,16,19,6,0,0
CHI,2018,82,33,39,10,76,229,256,18,18,5,15,21,5,0,0
NYI,2018,82,35,37,10,80,264,296,17,19,5,18,18,5,0,0
CGY,2018,82,37,35,10,84,218,252,20,17,4,17,18,6,0,0
NYR,2018,82,34,39,9,77,234,268,20,16,5,14,23,4,0,0
EDM,2018,82,36,40,6,78,234,263,21,17,3,15,23,3,0,0
VAN,2018,82,31,40,11,73,218,264,17,19,5,14,21,6,0,0
DET,2018,82,30,39,13,73,217,255,17,17,7,13,22,6,0,0
MTL,2018,82,29,40,13,71,209,264,14,21,6,15,19,7,0,0
OTT,2018,82,28,43,11,67,221,291,15,21,5,13,22,6,0,0
BUF,2018,82,25,45,12,62,199,280,12,24,5,13,21,7,0,0
ARI,2018,82,29,41,12,70,208,256,16,19,6,13,22,6,0,0
