team,team_name,season,games_played,wins,losses,ot_losses,points,points_pct,goals_for,goals_against,goal_differential,home_wins,home_losses,home_ot_losses,away_wins,away_losses,away_ot_losses,made_playoffs,won_cup
TB,Tampa Bay Lightning,2021,56,36,17,3,75,0.670,180,137,43,18,8,2,18,9,1,1,1
COL,Colorado Avalanche,2021,56,39,13,4,82,0.732,197,138,59,21,5,2,18,8,2,1,0
VGK,Vegas Golden Knights,2021,56,40,14,2,82,0.732,191,124,67,21,6,1,19,8,1,1,0
CAR,Carolina Hurricanes,2021,56,36,12,8,80,0.714,180,138,42,20,4,4,16,8,4,1,0
FLA,Florida Panthers,2021,56,37,14,5,79,0.705,180,145,35,21,5,2,16,9,3,1,0
TOR,Toronto Maple Leafs,2021,56,35,14,7,77,0.688,187,148,39,18,7,3,17,7,4,1,0
EDM,Edmonton Oilers,2021,56,35,19,2,72,0.643,178,152,26,18,9,1,17,10,1,1,0
PIT,Pittsburgh Penguins,2021,56,37,16,3,77,0.688,188,152,36,20,7,1,17,9,2,1,0
WPG,Winnipeg Jets,2021,56,30,23,3,63,0.563,162,163,-1,16,10,2,14,13,1,1,0
NYI,New York Islanders,2021,56,32,17,7,71,0.634,148,119,29,17,8,3,15,9,4,1,0
BOS,Boston Bruins,2021,56,33,16,7,73,0.652,168,138,30,19,6,3,14,10,4,1,0
WSH,Washington Capitals,2021,56,36,15,5,77,0.688,187,157,30,19,6,3,17,9,2,1,0
MIN,Minnesota Wild,2021,56,35,16,5,75,0.670,176,143,33,20,6,2,15,10,3,1,0
STL,St. Louis Blues,2021,56,27,20,9,63,0.563,171,176,-5,14,10,4,13,10,5,1,0
NSH,Nashville Predators,2021,56,31,23,2,64,0.571,152,155,-3,17,10,1,14,13,1,1,0
MTL,Montreal Canadiens,2021,56,24,21,11,59,0.527,159,168,-9,13,10,5,11,11,6,1,0
DAL,Dallas Stars,2021,56,23,19,14,60,0.536,138,138,0,14,8,6,9,11,8,0,0
CHI,Chicago Blackhawks,2021,56,24,25,7,55,0.491,156,176,-20,13,12,3,11,13,4,0,0
NYR,New York Rangers,2021,56,27,23,6,60,0.536,176,152,24,15,10,3,12,13,3,0,0
PHI,Philadelphia Flyers,2021,56,25,23,8,58,0.518,164,193,-29,14,10,4,11,13,4,0,0
LA,Los Angeles Kings,2021,56,21,28,7,49,0.438,135,168,-33,12,13,3,9,15,4,0,0
CGY,Calgary Flames,2021,56,26,27,3,55,0.491,152,162,-10,15,12,1,11,15,2,0,0
SJ,San Jose Sharks,2021,56,21,28,7,49,0.438,142,188,-46,11,14,3,10,14,4,0,0
ARI,Arizona Coyotes,2021,56,24,26,6,54,0.482,147,167,-20,14,11,3,10,15,3,0,0
VAN,Vancouver Canucks,2021,56,23,29,4,50,0.446,148,183,-35,12,14,2,11,15,2,0,0
NJ,New Jersey Devils,2021,56,19,30,7,45,0.402,135,183,-48,10,15,3,9,15,4,0,0
DET,Detroit Red Wings,2021,56,19,27,10,48,0.429,125,165,-40,11,12,5,8,15,5,0,0
CBJ,Columbus Blue Jackets,2021,56,18,26,12,48,0.429,128,173,-45,11,11,6,7,15,6,0,0
OTT,Ottawa Senators,2021,56,23,28,5,51,0.455,147,178,-31,11,14,3,12,14,2,0,0
BUF,Buffalo Sabres,2021,56,15,34,7,37,0.330,125,192,-67,9,16,3,6,18,4,0,0
ANA,Anaheim Ducks,2021,56,17,30,9,43,0.384,118,178,-60,10,14,4,7,16,5,0,0
SEA,Seattle Kraken,2021,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0
