team,season,cup_odds_american,cup_implied_prob,playoff_odds_american,playoff_implied_prob,actual_made_playoffs,actual_won_cup
COL,2024,+550,0.154,−350,0.778,1,0
FLA,2024,+900,0.100,−280,0.737,1,1
EDM,2024,+800,0.111,−300,0.750,1,0
BOS,2024,+900,0.100,−400,0.800,1,0
DAL,2024,+1000,0.091,−250,0.714,1,0
VGK,2024,+1000,0.091,−280,0.737,1,0
CAR,2024,+1200,0.077,−300,0.750,1,0
TOR,2024,+1200,0.077,−280,0.737,1,0
NYR,2024,+1400,0.067,−250,0.714,1,0
NJD,2024,+1600,0.059,−200,0.667,0,0
TBL,2024,+1800,0.053,−180,0.643,1,0
MIN,2024,+2000,0.048,−150,0.600,0,0
WPG,2024,+2200,0.043,−140,0.583,1,0
LAK,2024,+2500,0.038,−130,0.565,1,0
SEA,2024,+2500,0.038,−120,0.545,0,0
VAN,2024,+2800,0.034,−110,0.524,1,0
PIT,2024,+3000,0.032,+110,0.476,0,0
NSH,2024,+3000,0.032,−110,0.524,1,0
STL,2024,+3500,0.028,+120,0.455,0,0
NYI,2024,+4000,0.024,+130,0.435,1,0
DET,2024,+4000,0.024,+140,0.417,1,0
BUF,2024,+4000,0.024,+150,0.400,0,0
OTT,2024,+5000,0.020,+160,0.385,0,0
PHI,2024,+5000,0.020,+180,0.357,1,0
CGY,2024,+6000,0.016,+200,0.333,0,0
WSH,2024,+6000,0.016,+180,0.357,1,0
MTL,2024,+8000,0.012,+300,0.250,0,0
ARI,2024,+10000,0.010,+400,0.200,0,0
CHI,2024,+15000,0.007,+500,0.167,0,0
ANA,2024,+15000,0.007,+450,0.182,0,0
CBJ,2024,+15000,0.007,+500,0.167,0,0
SJ,2024,+20000,0.005,+600,0.143,0,0
