team,season,cup_odds_american,cup_implied_prob,playoff_odds_american,playoff_implied_prob,actual_made_playoffs,actual_won_cup
ANA,2025,30000,0.003322,1300,0.071429,0,0
BOS,2025,2000,0.047619,-225,0.692308,0,0
BUF,2025,5000,0.019608,170,0.37037,0,0
CAR,2025,1100,0.083333,-350,0.777778,1,0
CBJ,2025,25000,0.003984,1400,0.066667,0,0
CGY,2025,6600,0.014925,350,0.222222,0,0
CHI,2025,30000,0.003322,900,0.1,0,0
COL,2025,1000,0.090909,-600,0.857143,1,0
DAL,2025,1000,0.090909,-600,0.857143,1,0
DET,2025,4000,0.02439,145,0.408163,0,0
EDM,2025,1000,0.090909,-1400,0.933333,1,0
FLA,2025,900,0.1,-500,0.833333,1,1
LA,2025,2200,0.043478,-190,0.655172,1,0
MIN,2025,4000,0.02439,-145,0.591837,1,0
MTL,2025,15000,0.006623,625,0.137931,1,0
NJ,2025,1300,0.071429,-450,0.818182,1,0
NSH,2025,3500,0.027778,-350,0.777778,0,0
NYI,2025,4000,0.02439,-120,0.545455,0,0
NYR,2025,1300,0.071429,-375,0.789474,0,0
OTT,2025,4000,0.02439,115,0.465116,1,0
PHI,2025,5000,0.019608,225,0.307692,0,0
PIT,2025,4000,0.02439,125,0.444444,0,0
SEA,2025,8000,0.012346,165,0.377358,0,0
SJ,2025,30000,0.003322,1800,0.052632,0,0
STL,2025,4500,0.021739,180,0.357143,1,0
TB,2025,2000,0.047619,-250,0.714286,1,0
TOR,2025,1600,0.058824,-450,0.818182,1,0
UTA,2025,10000,0.009901,150,0.4,0,0
VAN,2025,2000,0.047619,-275,0.733333,0,0
VGK,2025,1200,0.076923,-350,0.777778,1,0
WPG,2025,2200,0.043478,-190,0.655172,1,0
WSH,2025,10000,0.009901,165,0.377358,1,0
